,ID,niveau_scolaire,type_texte,session,redacteur,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,cluster
1,P01C6E2,C6,expositif,0.0,1.0,150.572,0.734,5.21,5.944,0.123485868,0.876514132,2.0,s ,13.0,14.0,14.0,RB,1
2,P01C6E2,C6,expositif,0.0,1.0,158.419,2.2,7.113,9.313,0.236228927,0.763771073,12.0,que la vipol,14.0,26.0,26.0,P,1
6,P01C6E2,C6,expositif,0.0,1.0,180.743,1.856,2.137,3.993,0.464813423,0.535186577,10.0,ça aakzkzk,61.0,71.0,71.0,P,1
10,P01C6E2,C6,expositif,0.0,1.0,203.644,0.686,7.816,8.502,0.080686897,0.919313103,3.0, ma,35.0,38.0,87.0,R,1
18,P01C6E2,C6,expositif,0.0,1.0,244.407,3.448,7.816,11.264,0.306107955,0.693892045,15.0,ne sert a rien ,94.0,109.0,109.0,P,1
19,P01C6E2,C6,expositif,0.0,1.0,249.867,3.713,2.012,5.725,0.648558952,0.351441048,16.0,et puis en plus ,109.0,125.0,125.0,P,1
20,P01C6E2,C6,expositif,0.0,1.0,255.764,0.281,2.184,2.465,0.113995943,0.886004057,2.0,çà,125.0,72.0,127.0,P,1
21,P01C6E2,C6,expositif,0.0,1.0,260.881,0.67,4.836,5.506,0.121685434,0.878314566,1.0,à,72.0,127.0,127.0,R,1
22,P01C6E2,C6,expositif,0.0,1.0,265.342,2.917,3.791,6.708,0.434853906,0.565146094,5.0, fait,127.0,132.0,132.0,P,1
23,P01C6E2,C6,expositif,0.0,1.0,272.471,0.047,4.212,4.259,0.011035454,0.988964546,1.0,:,132.0,133.0,133.0,P,1
24,P01C6E2,C6,expositif,0.0,1.0,276.044,3.619,3.526,7.145,0.506508048,0.493491952,8.0, des ble,133.0,141.0,141.0,P,1
31,P01C6E2,C6,expositif,0.0,1.0,313.469,9.391,14.134,23.525,0.399192349,0.600807651,35.0,peut être des ports si la bagarres ,146.0,181.0,181.0,P,3
37,P01C6E2,C6,expositif,0.0,1.0,360.144,4.93,7.66,12.59,0.39158062,0.60841938,14.0, ou des encore,240.0,254.0,254.0,P,1
39,P01C6E2,C6,expositif,0.0,1.0,371.22,1.03,3.635,4.665,0.22079314,0.77920686,6.0,enrage,260.0,266.0,266.0,P,1
41,P01C6E2,C6,expositif,0.0,1.0,377.913,0.062,4.197,4.259,0.014557408,0.985442592,1.0,é,265.0,266.0,266.0,P,1
42,P01C6E2,C6,expositif,0.0,1.0,380.081,0.062,2.106,2.168,0.028597786,0.971402214,1.0,s,266.0,267.0,267.0,P,1
43,P01C6E2,C6,expositif,0.0,1.0,383.061,5.085,2.918,8.003,0.63538673,0.36461327,16.0, de savoir fait ,267.0,283.0,283.0,P,1
44,P01C6E2,C6,expositif,0.0,1.0,391.313,2.995,3.167,6.162,0.486043492,0.513956508,13.0,taper dessus ,283.0,296.0,296.0,P,1
47,P01C6E2,C6,expositif,0.0,1.0,408.036,0.406,5.569,5.975,0.067949791,0.932050209,3.0,et ,315.0,318.0,318.0,P,1
48,P01C6E2,C6,expositif,0.0,1.0,413.543,1.498,5.101,6.599,0.227004092,0.772995908,6.0,ainsi ,318.0,324.0,324.0,P,1
52,P01C6E2,C6,expositif,0.0,1.0,431.437,0.031,3.979,4.01,0.007730673,0.992269327,1.0,.,333.0,334.0,334.0,P,1
55,P01C6E2,C6,expositif,0.0,1.0,474.243,0.343,39.14,39.483,0.008687283,0.991312717,1.0,m,161.0,199.0,333.0,R,4
56,P01C6E2,C6,expositif,0.0,1.0,481.747,2.979,7.161,10.14,0.293786982,0.706213018,11.0, mais c'est,199.0,210.0,344.0,R,1
59,P01C6E2,C6,expositif,0.0,1.0,493.962,2.34,2.325,4.665,0.501607717,0.498392283,10.0,encore heu,228.0,238.0,372.0,R,1
